doctorstrange,300,282
next4yearsin4words,301,282
prayerfortrump,302,279
basementdwellers,303,279
lol,304,278
themorningafter,305,278
podestaemails29,306,278
clintonemails,307,277
dwts,308,270
garyjohnson,309,269
thankobamain4words,310,264
dems,311,263
myvote,312,263
pantsuitnation,313,261
thursdaythoughts,314,260
jamescomey,315,259
photo,316,258
magax3,317,255
chicagocubs,318,255
podestaemails32,319,250
standupwithevan,320,250
crookedhilary,321,247
earlyvoting,322,247
realtime,323,247
democracy,324,245
nastywoman,325,242
hilaryclinton,326,240
thefive,327,239
jayz,328,237
electionhangover,329,237
adultfilmamovieortvshow,330,234
denvsoak,331,232
undecided,332,230
iamwithher,333,229
nycmarathon,334,228
fucktrump,335,228
cubbies,336,228
waterislife,337,225
nypd,338,224
wcw,339,223
therealdonaldtrump,340,221
protest,341,218
getoutthevote,342,217
hillaryforpresident,343,215
treatyourselfin3words,344,215
donnabrazile,345,214
latinos,346,214
stayinline,347,213
oakland,348,212
indvsgb,349,212
donutsarebetterthanpeople,350,212
portland,351,211
latinovote,352,211
nationalstressawarenessday,353,211
madampresident,354,211
ohhillyes,355,209
debatenight,356,208
thingsthatdisturbme,357,208
gohillary,358,204
uselections2016,359,203
loser,360,202
ripamerica,361,202
teardownthosedams,362,202
americans,363,202
badhauntedhousethemes,364,199
cbs,365,194
ifwinterwerecancelled,366,193
merica,367,193
riggedelection,368,193
blackamericaagain,369,192
teamtrump,370,191
fall,371,190
phivsnyg,372,190
deny270,373,188
rolltide,374,186
sandiego,375,186
maine,376,186
whyithinkimstillsingle,377,185
nbcct,378,183
rockthevote,379,182
orlando,380,182
nationalauthorsday,381,182
eagles,382,182
septastrike,383,181
melaniatrump,384,176
90dayfiance,385,176
google,386,175
gocubs,387,174
american,388,173
amwriting,389,173
apple,390,173
mlb,391,173
cowboysnation,392,172
billclinton,393,172
humaabedin,394,171
beyonce,395,171
voting,396,171
jobsreport,397,171
denver,398,170
imalwaysinspiredby,399,169
emails,400,169
scotus,401,169
cnnsotu,402,168
blackfish,403,168
tbt,404,168
basketofdeplorables,405,167
detroit,406,167
dallascowboys,407,166
queensugar,408,166
ivotetrump,409,166
bringbernieback,410,165
axschat,411,165
raidernation,412,165
giantspride,413,164
americaisoverparty,414,164
climatechange,415,164
undecidedvoter,416,163
knicks,417,163
vikings,418,163
trumpstrong,419,163
neworleans,420,162
trumpsarmy,421,161
republican,422,161
bamavslsu,423,160
jillstein,424,160
io,425,159
buildthewall,426,157
postvotingstressrelief,427,157
antitrump,428,155
melania,429,153
nhpolitics,430,153
corruptmedia,431,153
fbidirectorcomey,432,153
breakingnews,433,152
marketing,434,150
dncleaks2,435,150
lhhh,436,150
history,437,149
letsgo,438,149
cnnelection,439,148
spiritdinner,440,146
sanfrancisco,441,146
god,442,145
trump16,443,144
notrump,444,143
whitehouse,445,142
inbound16,446,142
nra,447,141
gopackgo,448,141
soundcloud,449,141
copolitics,450,140
jillstein2016,451,140
positivethingstodoonnov9th,452,139
trumpwon,453,139
packers,454,139
thankyou,455,138
morningafter,456,138
evanmcmullin,457,138
guncontrol,458,137
zuckerberg,459,137
teamhillary,460,137
nanowrimo2016,461,136
follow,462,136
nm,463,135
sad,464,135
minnesota,465,134
gotribe,466,133
winning,467,132
uselection,468,131
stoptrump,469,131
bills,470,131
mannequinchallenge,471,130
prayforamerica,472,130
wwe,473,128
biasedmedia,474,128
saturdaymorning,475,127
steelers,476,127
pumprules,477,127
kkk,478,127
realdonaldtrump,479,126
seahawks,480,126
fnc,481,126
thisisus,482,126
smh,483,126
huma,484,126
fdt,485,125
raleigh,486,125
protests,487,125
satanicpodesta,488,124
dontboovote,489,123
dtla,490,123
nationalcandyday,491,123
apocalypseessentialsin5words,492,122
blacktwitter,493,122
electoralcollege,494,121
gohawks,495,120
crooked,496,120
clintonvstrump,497,119
bbn,498,119
broncos,499,119
hillaryindicment,500,118
raiders,501,118
november,502,118
withher,503,117
hollywood,504,116
dems4trump,505,115
ivegotabadfeelingabout,506,114
fb,507,113
motivationmonday,508,112
bluelivesmatter,509,112
gunviolence,510,110
nationalsandwichday,511,110
atlvstb,512,110
arrow,513,109
respect,514,108
debate,515,108
nyjvsmia,516,108
weiner,517,107
gunvote,518,107
trumpwinsbecause,519,107
guns,520,106
kellyfile,521,105
