2016_07_28,2029 @ demconvention,11.33,11.33
2016_07_28,8143 @ demsinphilly,42.89,42.89
2016_07_29,766 @ hillary,5.87,5.87
2016_07_29,885 @ trumppence16,9.52,8.92
2016_07_29,951 @ neverhillary,9.07,9.10
2016_07_29,1036 @ nevertrump,12.85,12.85
2016_07_29,1443 @ trump,21.16,21.09
2016_07_29,1480 @ dncinphl,18.95,18.95
2016_07_29,1564 @ demconvention,12.89,12.89
2016_07_29,2248 @ hillaryclinton,8.36,8.38
2016_07_29,3456 @ imwithher,12.62,12.62
2016_07_29,5625 @ demsinphilly,48.52,48.52
2016_07_30,415 @ trump2016,6.20,6.18
2016_07_30,486 @ maga,5.74,5.70
2016_07_30,530 @ crookedhillary,6.10,6.11
2016_07_30,569 @ trumppence16,10.09,9.49
2016_07_30,581 @ trndnl,5.65,1.98
2016_07_30,589 @ neverhillary,9.66,9.69
2016_07_30,598 @ hillaryclinton,8.95,8.98
2016_07_30,930 @ nevertrump,13.78,13.78
2016_07_30,962 @ imwithher,13.59,13.59
2016_07_30,1470 @ trump,22.62,22.56
2016_07_31,207 @ donaldtrump,5.91,5.91
2016_07_31,217 @ maga,5.96,5.91
2016_07_31,224 @ hillaryclinton,9.18,9.20
2016_07_31,248 @ crookedhillary,6.35,6.36
2016_07_31,264 @ neverhillary,9.92,9.95
2016_07_31,309 @ trndnl,5.96,2.29
2016_07_31,325 @ imwithher,13.91,13.91
2016_07_31,332 @ trumppence16,10.42,9.82
2016_07_31,415 @ nevertrump,14.20,14.19
2016_07_31,711 @ trump,23.34,23.27
2016_08_01,465 @ donaldtrump,6.37,6.37
2016_08_01,477 @ trumppence16,10.89,10.30
2016_08_01,565 @ hillaryclinton,9.74,9.77
2016_08_01,598 @ maga,6.56,6.51
2016_08_01,654 @ imwithher,14.56,14.56
2016_08_01,664 @ crookedhillary,7.01,7.02
2016_08_01,716 @ trndnl,6.67,3.00
2016_08_01,879 @ neverhillary,10.80,10.83
2016_08_01,1003 @ nevertrump,15.20,15.19
2016_08_01,2082 @ trump,25.42,25.36
2016_08_02,507 @ donaldtrump,6.88,6.88
2016_08_02,516 @ trndnl,7.19,3.52
2016_08_02,533 @ maga,7.09,7.04
2016_08_02,562 @ neverhillary,11.37,11.39
2016_08_02,577 @ trumppence16,11.47,10.88
2016_08_02,589 @ imwithher,15.15,15.15
2016_08_02,598 @ raw,1.63,1.63
2016_08_02,983 @ nevertrump,16.18,16.18
2016_08_02,1020 @ thebachelorette,1.81,1.81
2016_08_02,1973 @ trump,27.39,27.33
2016_08_03,68 @ hillaryclinton,10.16,10.18
2016_08_03,72 @ donaldtrump,6.95,6.95
2016_08_03,87 @ gop,4.73,4.74
2016_08_03,101 @ crookedhillary,7.54,7.55
2016_08_03,104 @ neverhillary,11.47,11.50
2016_08_03,109 @ maga,7.20,7.15
2016_08_03,132 @ trndnl,7.32,3.65
2016_08_03,150 @ imwithher,15.30,15.30
2016_08_03,224 @ nevertrump,16.41,16.40
2016_08_03,407 @ trump,27.80,27.74
