date,senti_score1,senti_score2,totalCall,score1_fin,Ncall1_fin,score1_ave,score1_std,score1_median,score1_max,score1_min,score2_fin,Ncall2_fin,score2_ave,score2_std,score2_median,score2_max,score2_min
2016_07_16,0.359783,-0.189329,754,10.0,858,10.0,0.0,10.0,10.0,10.0,3.13742,266,3.36684,1.83488,2.7535,9.0,1.5
2016_07_17,0.504739,-0.144774,706,10.0,1564,10.0,0.0,10.0,10.0,10.0,3.43349,972,3.39022,0.114722,3.413,3.651,3.0
2016_07_18,0.409413,-0.122347,469,10.0,2033,10.0,0.0,10.0,10.0,10.0,3.63613,1441,3.47565,0.0767844,3.452,3.636,3.371
2016_07_19,0.351272,-0.122347,676,10.0,2709,10.0,0.0,10.0,10.0,10.0,3.57114,2117,3.58249,0.0363029,3.565,3.667,3.541
2016_07_20,0.304123,-0.204208,499,10.0,3208,10.0,0.0,10.0,10.0,10.0,3.52021,2616,3.51704,0.0227801,3.511,3.574,3.481
2016_07_22,0.355396,-0.184451,541,10.0,4383,10.0,0.0,10.0,10.0,10.0,3.3707,3791,3.38103,0.00777038,3.381,3.403,3.364
2016_07_23,0.303744,-0.447013,402,10.0,4785,10.0,0.0,10.0,10.0,10.0,3.43879,4193,3.40699,0.0195846,3.4075,3.439,3.371
2016_07_24,0.252872,-0.551395,830,10.0,5615,10.0,0.0,10.0,10.0,10.0,3.47296,5023,3.46668,0.021502,3.477,3.496,3.423
2016_07_25,0.214598,-0.556438,1019,10.0,6634,10.0,0.0,10.0,10.0,10.0,3.54593,6042,3.51135,0.0265198,3.504,3.556,3.47
2016_07_26,0.204566,-0.482443,855,10.0,7489,10.0,0.0,10.0,10.0,10.0,3.65037,6897,3.59138,0.0377665,3.573,3.651,3.545
2016_07_27,0.19318,-0.356873,933,10.0,8422,10.0,0.0,10.0,10.0,10.0,3.66301,7830,3.67899,0.0124516,3.683,3.699,3.647
2016_07_28,0.168828,-0.311261,209,10.0,8631,10.0,0.0,10.0,10.0,10.0,3.65339,8039,3.65713,0.00201467,3.658,3.662,3.652
2016_07_29,0.162305,-0.310855,885,10.0,9516,10.0,0.0,10.0,10.0,10.0,3.70509,8924,3.67637,0.0121079,3.675,3.705,3.654
2016_07_30,0.231269,-0.425043,569,10.0,10085,10.0,0.0,10.0,10.0,10.0,3.72515,9493,3.71437,0.00589988,3.716,3.725,3.702
2016_07_31,0.281702,-0.43039,332,10.0,10417,10.0,0.0,10.0,10.0,10.0,3.74702,9825,3.74322,0.0100499,3.7485,3.754,3.724
2016_08_01,0.240545,-0.382796,477,10.0,10894,10.0,0.0,10.0,10.0,10.0,3.73364,10302,3.74612,0.00479614,3.748,3.753,3.733
2016_08_02,0.301552,-0.388086,577,10.0,11471,10.0,0.0,10.0,10.0,10.0,3.73959,10879,3.73821,0.00569647,3.739,3.748,3.726
2016_08_03,0.398213,-0.342226,58,10.0,11529,10.0,0.0,10.0,10.0,10.0,3.74011,10937,3.73972,0.00098752,3.739,3.742,3.738
2016_10_15,0.394094,-0.289048,432,10.0,11961,10.0,0.0,10.0,10.0,10.0,3.74593,11369,3.74237,0.00463837,3.742,3.752,3.735
2016_10_16,0.463875,-0.275417,213,10.0,12174,10.0,0.0,10.0,10.0,10.0,3.74674,11582,3.75006,0.00289219,3.75,3.755,3.745
2016_10_17,0.471081,-0.1773,358,10.0,12532,10.0,0.0,10.0,10.0,10.0,3.75101,11940,3.74968,0.00178488,3.7495,3.754,3.746
2016_10_18,0.383214,-0.165874,372,10.0,12904,10.0,0.0,10.0,10.0,10.0,3.75542,12312,3.75095,0.00249913,3.752,3.755,3.746
2016_10_19,0.347809,-0.194925,453,10.0,13357,10.0,0.0,10.0,10.0,10.0,3.77207,12765,3.7631,0.00633374,3.761,3.774,3.755
2016_10_20,0.357171,-0.202477,387,10.0,13744,10.0,0.0,10.0,10.0,10.0,3.77623,13152,3.77441,0.00202414,3.774,3.778,3.771
2016_10_21,0.457168,-0.183376,243,10.0,13987,10.0,0.0,10.0,10.0,10.0,3.79386,13395,3.78528,0.00589948,3.784,3.794,3.776
2016_10_22,0.411088,-0.231319,427,10.0,14414,10.0,0.0,10.0,10.0,10.0,3.80404,13822,3.79899,0.0034273,3.799,3.804,3.794
2016_10_31,0.286272,-0.332232,309,10.0,14726,10.0,0.0,10.0,10.0,10.0,3.83098,14134,3.81866,0.00829039,3.818,3.831,3.803
2016_11_01,0.4586,-0.173645,453,10.0,15179,10.0,0.0,10.0,10.0,10.0,3.82871,14587,3.83077,0.00150524,3.831,3.835,3.828
2016_11_02,0.369283,-0.298404,316,10.0,15495,10.0,0.0,10.0,10.0,10.0,3.845,14903,3.83312,0.00458299,3.833,3.845,3.826
2016_11_03,0.398315,-0.28711,269,10.0,15764,10.0,0.0,10.0,10.0,10.0,3.85182,15172,3.84821,0.00154403,3.848,3.852,3.844
2016_11_04,0.650311,-0.173434,15,10.0,15779,10.0,0.0,10.0,10.0,10.0,3.85251,15187,3.85227,0.000457738,3.852,3.853,3.852
