tag,score
aft4hillary,1
alwayswithhillary,1
anyonebuthillary,-1
benghazi,-1
bernieorbust,-1
boycotthillary,-1
britsforhillary,1
broadwayforhillary,1
clintonfoundation,-1
concedehillary,-1
corrupthillary,-1
corrupthillaryclinton,-1
criminalhillary,-1
crookedhillary,-1
crookedhillaryclinton,-1
crookedlyinghillary,-1
demandhillarysmedicalrecords,-1
dncleak,-1
dncleaks,-1
donatetohillary,1
dropouthillary,-1
drunkhillary,-1
dumphillary,-1
exposehillary,-1
florida4hillary,1
fuckhillary,-1
gayhillary,-1
gayhillaryclinton,-1
gohillary,1
gohillarygo,1
handcuffhillary,-1
heartlesshillary,-1
hillary4jail,-1
hillary4prison,-1
hillary4prison2016,-1
hillarycantwin,-1
hillaryclintonforpresident,1
hillaryemails,-1
hillaryemailscandal,-1
hillaryforamerica,1
hillaryforjail,-1
hillaryforpotus,1
hillaryforpresident,1
hillaryforprison,-1
hillaryforprison2016,-1
hillaryforprison2k16,-1
hillarygungrab,-1
hillaryhatesamericans,-1
hillaryhealth,-1
hillaryindicment,-1
hillaryindictment,-1
hillaryisaliar,-1
hillaryleaks,-1
hillarylies,-1
hillaryliesmatter,-1
hillarylucifer2016,-1
hillarymustconcede,-1
hillaryrottenclinton,-1
hillarysbitch,-1
hillarysemail,-1
hillarysemails,-1
hillaryshealth,-1
hillarysliesmatter,-1
hillarystrong,1
hillarysucks,-1
hillarythehypocrite,-1
hillarytreason,-1
hillarywon,1
horriblehillary,-1
illegitmatehillary,-1
ilovehillary,1
imwithher,1
imwithhillary,1
indicthillary,-1
istandwithhillary,1
itrusthillary,1
iwanthillaryinprison,-1
kids4hillary,1
landslideforhillary,1
latinaforhillary,1
latinosforhillary,1
latinovetsforhillary,1
lockherup,-1
lyincrookedhillary,-1
lyingcrookedhillary,-1
lyingcrookedhillaryclinton,-1
lyinghillary,-1
lyinhillary,-1
mediaforhillary,1
nastyhillary,-1
nastywoman,-1
neitherhillarynortrump,-1
nevercrookedhillary,-1
nevereverhillary,-1
neverhillary,-1
neverhillarybecause,-1
neverhillarynevertrump,-1
neverhillaryortrump,-1
nevertrumpnorhillary,-1
nevertrumporclinton,-1
nevertrumporhillary,-1
nohillary,-1
nothillary,-1
ohio4hillary,1
readyforhillary,1
rejectedhillaryslogans,-1
republicansforhillary,1
rottenhillary,-1
sickhillary,-1
standwithhillary,1
stillsanders,-1
stophillary,-1
stophillary2016,-1
thankshillary,1
theliesofhillaryclinton,-1
voices4hillary,1
vote4hillary,1
voteforhillary,1
votehillary,1
votehillary2016,1
votehillaryclinton,1
wehatehillary,-1
whichhillary,-1
womenforhillary,1
wontvotehillary,-1
